Unnamed: 0,Subject,Date Posted,Posted By (OP),Text (OP) ,Reply 1,Reply 2,Reply 3,Reply 3 Date,Conversation Duration,Total Number of Replies,MajoritySentiment,PolarityScores,PersonalScores,CompoundSentimentScore,OPSentiment,Reply1Sentiment,Reply2Sentiment,Reply3Sentiment,OPPersonal,Reply1Personal,Reply2Personal,Reply3Personal,QuestionLength
0,Starting transition from mdi to pump,10/20/2022,Dennis 48,"My healthcare transfered my diabetes care from primary care doctor to a pharmacist. Didn't work out very well for me. The pharmacist and I butted heads over corrections. She thought my Humalog should only be taken with meals. Corrections were too dangerous and would lead to hypoglycemia. I have been doing corrections for years without hypoglycemia. I basically blew her off and and told her she was full of ****. As punishment I was sent to a diabetic educator to be straightened out. After the educator and I talk, she reported back to my primary care and pharmacist that I was doing an outstanding job managing my diabetes. My time in range has consistently been 80 - 90% on my Dexcom. To my surprise she said that I would be a perfect candidate for a pump. After my referal to the Endocrinologists I now have a Tandem t:slim X-2 and will start my training next week. After all the hassle I went through to get my CMG I never thought this 73 year old type 2 would be considered for a pump. Medicare even paid 80%of the cost.","The CGM has been a great tool. We are the same age, I wish yor successbb with the pump.",what good news for you! This sounds wonderful for you!,"Thats fantastic well done. I'm in Australia and whilst not understanding or pretending to understand the US system, the fact thct you had to be ""told"" and ""sent"" to others to assist in your obviously well controlled medical condition, says a lot of the tick and flick system! Glad you got what you wanted and needed in the end! PS i'm late 40's and only have mid 70's time in range so well done!",10/22/2022,2,19,Positive,"{'neg': 0.025, 'neu': 0.811, 'pos': 0.164, 'compound': 0.9915}",0.017263427109974423,0.9915,0.9381,0.7783,0.8011,0.9096,0.02237354085603113,0.022988505747126436,0.0,0.005063291139240506,1564
1,Closed-loop Pump Recommendations,09/20/2022,dnamertz1,"I have been using the t-slim/Dexcom closed loop system with Control IQ. My pump warranty period just ended but the pump still works well. I love Control IQ and the accuracy of the Dexcom CGM, but ever since Dexcom made a change to the adhesive on their sensors about two years ago I get terrible red bumpy rashes in the exact shape of the adhesive. Many other people reported the exact same problem around that same time. I’ve tried all the solutions, and the only thing that works is to put a thicker adhesive underneath the sensor, but that adhesive does not stick very well so I am always struggling to get it to stay on all 10 days. So, I am considering making a change but I would like opinions (pros and cons) from users of other closed loop systems. I used a Medtronic CGM many years ago but the accuracy was not good. I don’t know if they have improved that.",Have you seen any of the previous discussions? Maybe some of these would be of interest until some members respond.,"Well, I’ll just add my experience. I had Dexcom CGM a few years ago, before I got a pump. Until, I put the sensors on my upper arms, I didn’t have reliable, consistent BG numbers with Dexcom. I’d be off 100 points from my meter at any random time. But, it improved when I switched to using my arms. Soon after, I got Medtronic 670G pump and CGM. For me, the GGMs ran about the same as Dexcom on my BG. I actually wore both at one time for a couple of weeks during my transition to Medtronic so I know how close they ran.","I switched from Medtronic to Dexcom relatively recently and have litle to no issue with adhesion with either I perhaps find the dexcom marginally better, but that could be my own ""honeymoon period"" with the new sensor (albeit it now 6 months +). I do find my mental security on the accuracy on the dexcom is significanly higher, but thats my experience, and everyone will have their own story on that!",09/22/2022,2,5,Positive,"{'neg': 0.048, 'neu': 0.855, 'pos': 0.096, 'compound': 0.9571}",0.019453207150368034,0.9571,0.6854,0.4588,0.6908,0.5567,0.013856812933025405,0.0,0.03461538461538462,0.017456359102244388,1902
2,"Medicare, C-Peptide, Type 2 Pump",11/13/2021,williamtd,"I’m Type 2 and have been on a pump for years. It’s the only thing that controls my A1c. I have pump and Dexcom supplies for the next 3 months, but after that, I’ll need to get more. I haven’t seen my Endo since 2020 because I've been uninsured prior to starting Medicare a few weeks ago. The Endo I was seeing isn’t covered by my Medicare plan, so I’ll be making a new appt as well and getting re-established with a new Endo prior to attempting to get a new pump (out of warranty now) and supplies. I’ve never had a C-Peptide test before. I know that I need a C-Peptide test to qualify for a pump under Medicare. Medicare's criteria states: “…a fasting C-peptide level that is less than or equal to 110 percent of the lower limit of normal of the laboratory’s measurement method.” So, if the C-Peptide range for the specific lab I’ll be using is “0.80 to 3.85 ng/mL” does that mean that my C-Peptide would have to be less than or equal to .088 ng/mL? Lower limit of normal is “.08 ng/mL” on this range, multiplied by “.110” (110%)…would equal “.088 ng/mL.” Did I do that math correctly? Thanks for any help!","Your answer (.088) is correct but your multiplier is not (.110 is off by a decimal point, 1.10 is the correct number). I am not sure how you arrived at the correct answer. The correct calculation is: .08 X 1.10 = .088","After thinking about it, I think C peptide is a better indicator of basal insulin level just because it is metabolized more slowly than insulin. After saying this I admit I am not a doctor so I could be completely wrong.","Wouldn't ""Fasting Insulin"" include insulin from injection/infusion? That's why C-pep is used. C-pep is co-secreted by the pancreas. When you administer exogenous insulin, you're not introducing C-peptide.",11/15/2021,2,11,Positive,"{'neg': 0.027, 'neu': 0.928, 'pos': 0.045, 'compound': 0.7676}",0.013157894736842105,0.7676,0.7271,-0.3491,0.1298,0.0,0.015356820234869015,0.004608294930875576,0.022727272727272728,0.0,1748
3,Navigating insurance,07/28/2022,gapapera,"We worked with Medtronic who billed the new Omnipod system (5) to pharmacy and not to durable medical devices. I am dealing with Humana and I feel like no matter how many times I say ""Look at this claim from two months ago and look at this new claim to show what is wrong..."" They do not get it. Pharmacy says talk to Medical. Medical says talk to pharmacy. I wanted to know jsut how to get these new devices billed under Durable medical devices. If anyone has any suggestions, I'd be open to it. I may call the third party vendor (CCS Medical) to see if they can assist me. If anyone has any tips about dealing with humana, I'm open to it!!","What does Medtronic have to do with OmniPod? They don't make OmniPod, Insulet does. I wasn't aware of Medtronic distributing their competitor's product (but I suppose I could be wrong).","In my case, that means my insulin is covered 100% between Medicare B and my Aetna Supplement. My infusion sets, reservoirs, and CGM sensors are also covered 100% by same. If I were to switch to Dash/Dexcom, my CGM stuff would still be 100% covered. But I'd face prescription co-pays for the Pods, and the insulin. And I'd end up in the doughnut hole probably by March of each year.",Highly doubt ccs medical will be any help unfortunately that's been my experience!,08-01-2022,4,12,Negative,"{'neg': 0.034, 'neu': 0.927, 'pos': 0.039, 'compound': -0.3871}",0.016291698991466253,-0.3871,0.5696,0.0,0.0,-0.4186,0.0124804992199688,0.016216216216216217,0.02099737532808399,0.024390243902439025,1289
4,Auto Mode! (670G),07-09-2018,MX Racer,"I switched to auto mode for the first time this morning. I am super psyched. Hoping this is the ""answer"" for me. I'd love to hear others experience specifically with auto mode in the Medtronic 670G pump.","Auto mode has some great advantages. The amount of the micro blouses increases if your BGs start to elevate and are suspended if your sensor predicts (not when) you are going low. However, the micro blouses max out at 0.175 /5 minutes. Accordingly, if you mis calculate your carbs, you can still go high and will need to make a manual correction.",I’m quite interested to see how responsive / aggressive / rapid it is in taming a + 225 to around 120.,"So everything went pretty well yesterday. Throughout the day when I wasn't eating, is was near perfect. I think my previous basal was artificially high and my carb ratio was off because when I ate dinner and bolus'd, I shot to 377. Manual mode on the pump went away, so I had to take a shot to get back down. I am adjusting my carb ratio today. We'll see...",07-10-2018,1,4,Positive,"{'neg': 0.034, 'neu': 0.804, 'pos': 0.162, 'compound': 0.9781}",0.015873015873015872,0.9781,0.8979,0.34,0.5984,0.8505,0.019704433497536946,0.0,0.00980392156862745,0.03081232492997199,1008
5,Medtronic 770G Target B.S.,06/21/2022,PeterPumper,"I've long been frustrated that my 770G runs too high in Auto mode, but today pretty much perfectly made my point.  I am desperately awaiting the 780G upgrade, which lowers the target point, along with other, more aggressive changes! The 770G is just to conservative. The way I see it, my A1C is about 0.5% higher due to this ""margin of safety."," A target of 120 is always better than averaging 130 or 140, but those numbers still equate to a great A1c. If you were sitting in the ER for 7 hours, that alone could cause stress and you know what stress can do to BG levels. Keep up the good work and, eventually, the 780g will be FDA approved. While politics might be a reason for the lack of FDA approval, Medtronic is not blameless. They’ve made enough mistakes on their own.",Target will still be to have average at 6.5 mmol/L = 94 mg/dL or less . what is this 140 ? Looks to me that someone is chicken to lower the set point. I would be very unhappy with such a high set point.,"Medtronic goes through cycles of this. They seem to think that they know best (such a paternalistic attitude). I remember I traded my new 515 to go back to my 512. The newer pump would not let me change the time for active insulin (it was hard coded as 4 hours). That didn't work for me and I was expected to fudge my I:C calculations to make things work. And I couldn't use the bolus wizard because of this either. They changed this back to the 'old' way in most of the subsequent pumps. I'm hopeful for you that the more people who object to this, the sooner they will fix it.",06/24/2022,3,18,Positive,"{'neg': 0.106, 'neu': 0.751, 'pos': 0.143, 'compound': 0.9682}",0.01159047005795235,0.9682,0.8127,0.5304,-0.6478,0.8689,0.01749271137026239,0.0,0.0049504950495049506,0.01903114186851211,1553
6,Wasted Insulin,04-05-2022,Julie De Vos,Was just changing my pump site (I use a Tandem pump) and thought about how much insulin is left in the tubing and wondered how much insulin is actually left in the cartridge when I change it? How much does this cost per year when I throw the tubing away?,Sounds outrageous to me!,"I get every drop out of my reservoirs. (Medtronic - I'll let it run till it errors from lack of flow.) But I do ""waste"" about 15 units per set change with the tubing/priming.","Wow! I always knew there was some waste with tubing, but never really thought about the cumulative amount. I use omnipod, and really don’t know how to determine waste. I assume the alarm works on the same principle as the other pumps - out of insulin, pressure builds up as delivery mechanism tries to work, and then the alarm saying empty reservoir, but I have no idea how to even determine that. Certainly less than any tubed pump, given the reservoir and infusion catheter is self contained, but I would venture to guess at least 1-2 units per pod.",04-09-2022,4,13,Negative,"{'neg': 0.151, 'neu': 0.833, 'pos': 0.016, 'compound': -0.9724}",0.01296111665004985,-0.9724,0.0,-0.5093,-0.4404,-0.9245,0.015748031496062992,0.0,0.022988505747126436,0.009074410163339383,1003
7,My pump improved my time in range.,06-01-2022,zeegirl,"I'm not sure I've posted, in forever, but felt like I needed to say this to anyone who is weighing getting an insulin pump. I have a Tandem T:slim with IQ control. I resisted getting a pump, for several years, for several reasons. The main one being I didn't want something attached to my body to have to deal with daily. I had worn a Free Style Libre CGM for a long time. My numbers were up and down constantly. My daughter, finally, made me see the error of my ways and I bit the bullet and got my pump. It took some time to learn everything but I read everything I could find and am pretty comfortable with the pump now. I've changed from a Free Style Libre to a Dex Com 7 CGM because that's what Tandem uses. Just let me say that I'm over the moon with my numbers. My target glucose limit is set at 70-180. I started out with 75% as my daily time in range goal, increased it to 80% and am now at 85%. Believe it or not, my time in range ranges from 89 to 100% all the time. ","How nice to hear! Wishing you continued success with it. I sometimes resist some of the ""new-fangled"" stuff, too, though once you get the hang of something, it's usually pretty great. I'm still having a few blips with my new cell phone, but otherwise is pretty terrific.","Great. I really believe the newer technology helps with better time in range and overall control. Especially automated Insulin delivery. I have to remind myself, though to keep listening to my body and not just what the tech is telling me",Thanks for the recommendation. Glad you're getting good results : ),06-03-2022,2,10,Positive,"{'neg': 0.028, 'neu': 0.774, 'pos': 0.198, 'compound': 0.996}",0.018673535093367676,0.996,0.9544,0.9523,0.8625,0.8316,0.023517382413087935,0.011111111111111112,0.012605042016806723,0.0,1553
8,Cracks in my Medtronic pump!,03/29/2013,craftgirl,"I am a new member to the site, but have had Type I Diabetes for 24 years. I have been on an insulin pump for about 18 years. I switched from an Accucheck Spirit Pump to Medtronic about 2.5 years ago and have been quite happy with the new technology. What I am not happy with is that my first pump developed cracks in the battery compartment. It was replaced, but after using the new pump for 2-3 months, cracks started to develop in the insulin compartment. Medtronic denies any other reports of cracks in the compartments such as I've experienced. Just wondering if anyone else out there has experienced these cracks in the plastic compartments?","I have had a Metronic pump for a time now, and they change it for me every 4 yrs. I've never had any issues with it. There was someone on here saying they had a crack in their Medtronic pump & it was replaced right away","I've had cracks in the reservoir window and by the battery opening. MM just replaced both of those pumps. But, the pump still has to be in warranty.",I too have had cracks in my battery area of my 630 which is newer pump. Called medtronic and they replaced my pump and I sent other with cracks back. Now 2 to 3 months it's happening again in battery area. I have been td1 for way over 30 years and using a pump for the last 20 years. ,03/30/2013,1,15,Positive,"{'neg': 0.015, 'neu': 0.931, 'pos': 0.054, 'compound': 0.8841}",0.015420200462606014,0.8841,0.8841,0.0,0.0,0.0,0.015479876160990712,0.0091324200913242,0.006756756756756757,0.028169014084507043,1297
9,Magnets,04/29/2022,PeterPumper,How concerned do you all think I should be about magnets near my pump?,"Peter, I just did a quick internet search and found all sorts of warnings about keeping insulin pumps away from magnets, including some induction cooktop stoves (on JDRF).",I get training next week for the t:slim x2 and somehow did not know before my pump decision about the magnet issue. I have had Medtronic for many years. I sit with a Macbook pro 15 in. laptop in use most every day and I also sometimes wear a nametag that has strong magnets that clamp together thru clothing to hold it on.,"I've been more than satisfied with tslim! I think all pumps and cgm have this issue. For fact must be removed for mri,ct. Varying opinions on scanners at airport I take the pat down although I've gone thru them with no problem. Why have a problem when going out of town!",04/30/2022,1,19,Negative,"{'neg': 0.068, 'neu': 0.89, 'pos': 0.042, 'compound': -0.4599}",0.01800720288115246,-0.4599,0.0,-0.296,0.5106,-0.6256,0.04285714285714286,0.005847953216374269,0.018633540372670808,0.018518518518518517,833
