tsne1,tsne2
-36.305172,11.1627865
56.182827,-22.167952
29.922634,0.90732414
-8.824731,8.116989
16.670057,-37.63682
-31.974056,-4.1352835
-28.04513,12.679601
9.2860365,-19.885813
-21.710411,6.167245
-12.85116,66.82778
-32.23669,26.342287
-30.535875,34.838898
6.302273,49.362267
-38.436092,46.282574
6.8329754,16.49411
2.7176244,-17.952633
6.6174865,-37.36279
8.036974,-6.632769
-22.218113,66.91281
-26.357328,55.4839
-47.551163,40.574497
-23.665915,-9.901915
-37.963017,56.094044
-22.805458,47.94016
58.622375,-5.636616
8.980954,43.827003
17.103067,-5.1616774
30.175423,-20.519005
-24.177797,-1.1168472
-29.742865,70.51161
47.133495,-16.467503
33.980164,-6.252829
47.85222,-25.29279
-18.03622,17.155384
11.891576,-29.675516
21.937208,1.2785034
0.51249886,-11.020582
23.435781,-14.028561
3.3487756,-29.945063
-30.114258,43.210186
-7.139075,0.101311415
25.135746,-6.5824866
39.82717,-12.611567
51.980404,-0.9056685
-15.913741,73.54332
-128.73544,34.074226
-6.351637,-33.2986
-31.116602,61.690765
-37.642056,38.09006
-6.661602,-15.332588
-37.66109,20.45315
45.348625,-7.218386
0.34582597,3.973916
-19.228315,58.77718
-8.122719,-7.385841
39.798626,0.068388894
-16.259956,-13.574463
39.140694,-20.995604
62.67908,-16.762224
-30.57514,4.1019855
16.800457,-22.829828
-15.576366,-6.078154
-31.833244,50.273174
-39.50147,30.637878
53.37744,-12.508836
-23.035303,75.645386
-22.944483,39.046757
-22.879955,29.244074
14.736633,-12.257017
-13.181826,-25.757694
-0.11801727,-3.9550557
10.699266,1.6240274
-3.5667794,-25.69567
32.319633,-13.300078
23.91367,-34.651154
-15.103271,1.4581636
-26.519417,-17.318087
-27.667912,20.091312
